16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[237/12000] 01_negamax vs 04_quiescence_search: black by checkmate (11.3s) | elapsed 3m, eta 173m
[238/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.7s) | elapsed 4m, eta 173m
[239/12000] 01_negamax vs 04_quiescence_search: black by checkmate (11.1s) | elapsed 4m, eta 173m
[240/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.7s) | elapsed 4m, eta 175m
[241/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.7s) | elapsed 4m, eta 175m
[242/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.8s) | elapsed 4m, eta 175m
[243/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.8s) | elapsed 4m, eta 176m
[244/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.9s) | elapsed 4m, eta 175m
[245/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.6s) | elapsed 4m, eta 175m
[246/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.7s) | elapsed 4m, eta 175m
[247/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.8s) | elapsed 4m, eta 174m
